invoice_number,invoice_line_item,po_number,po_line_item,material_code,material_description,invoice_qty,unit_price,currency,invoice_amount,tax_amount,total_amount,gr_reference
INV-80001,20,4500001,20,MAT-41890,MS Round Bar 25mm,116,1000,EUR,116000,20880,136880,GR-10001
INV-80001,30,4500001,30,MAT-82140,Iron Angle 50x50,300,791,EUR,237300,42714,280014,GR-10002
INV-80001,40,4500001,40,MAT-42951,Carbon Steel Sheet,250,1732,EUR,433000,77940,510940,GR-10005
INV-80002,20,4500002,20,MAT-35443,Carbon Steel Sheet,250,1972,EUR,493000,88740,581740,GR-10008
INV-80003,10,4500003,10,MAT-80010,Stainless Sheet 304,50,3930,INR,196500,35370,231870,GR-10009
INV-80003,20,4500003,20,MAT-48290,HR Coil 2mm,46,2998,INR,137908,24823,162731,GR-10010
INV-80004,10,4500004,10,MAT-72746,Cast Iron Block,250,806,INR,201500,36270,237770,GR-10012
INV-80005,10,4500005,10,MAT-18564,HR Coil 2mm,746,2629,INR,1961234,353022,2314256,GR-10013
INV-80006,10,4500006,10,MAT-29555,Nickel Bar 15mm,50,9289,USD,464450,83601,548051,GR-10014
INV-80007,10,4500007,10,MAT-88135,MS Round Bar 25mm,500,1135,USD,567500,102150,669650,GR-10015
INV-80007,20,4500007,20,MAT-87139,Iron Angle 50x50,822,882,USD,725004,130500,855504,GR-10016
INV-80008,10,4500008,10,MAT-91987,Nickel Bar 15mm,100,10081,INR,1008100,181458,1189558,GR-10017
INV-80009,10,4500009,10,MAT-19838,Stainless Sheet 304,150,3691,USD,553650,99657,653307,GR-10018
INV-80010,10,4500010,10,MAT-14278,Iron Angle 50x50,619,826,USD,511294,92032,603326,GR-10019
INV-80010,20,4500010,20,MAT-40595,Carbon Steel Sheet,1000,1644,USD,1644000,295920,1939920,GR-10020
INV-80010,30,4500010,30,MAT-29528,Steel Pipe 2inch,200,1317,USD,263400,47412,310812,GR-10021
INV-80011,30,4500013,30,MAT-33788,Iron Angle 50x50,1000,782,USD,782000,140760,922760,GR-10022
INV-80012,10,4500014,10,MAT-52081,Iron Angle 50x50,500,739,INR,369500,66510,436010,GR-10025
INV-80013,10,4500015,10,MAT-62488,Steel Pipe 2inch,263,1707,INR,448941,80809,529750,GR-10028
